epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6171,1.64412,3.22478,1.62432,0.70165,0.57746,0.66503,0.3143,1.66969,2.76216,1.79247,0.000664311,0.000664311,0.000664311
2,143.943,1.61614,2.40098,1.58551,0.84297,0.68049,0.75736,0.41796,1.65212,2.2923,1.76547,0.00128706,0.00128706,0.00128706
3,198.631,1.7753,2.15458,1.70493,0.86205,0.78873,0.81249,0.39903,1.75665,1.85493,1.85269,0.0018658,0.0018658,0.0018658
4,255.899,1.67447,1.89666,1.65824,0.77351,0.84177,0.81811,0.41225,1.74802,1.74006,1.8079,0.001802,0.001802,0.001802
5,322.613,1.66666,1.57843,1.64243,0.88218,0.84364,0.85249,0.42153,1.67079,1.41802,1.7863,0.001736,0.001736,0.001736
6,377.944,1.61151,1.52371,1.58176,0.88329,0.83803,0.83554,0.43014,1.6109,1.38149,1.73069,0.00167,0.00167,0.00167
7,433.016,1.59104,1.47933,1.63221,0.90482,0.84507,0.8755,0.4801,1.59802,1.13609,1.75642,0.001604,0.001604,0.001604
8,489.06,1.57431,1.33515,1.56857,0.92242,0.83735,0.88904,0.46736,1.62748,1.12529,1.73328,0.001538,0.001538,0.001538
9,545.26,1.58144,1.30515,1.58814,0.89743,0.87324,0.88098,0.47349,1.59912,1.08094,1.70062,0.001472,0.001472,0.001472
10,599.647,1.50049,1.17874,1.52557,0.89748,0.8631,0.89896,0.47576,1.59252,0.95416,1.6865,0.001406,0.001406,0.001406
11,654.203,1.5341,1.17531,1.52449,0.90552,0.90141,0.90326,0.52388,1.50882,0.97933,1.61597,0.00134,0.00134,0.00134
12,709.692,1.52687,1.1659,1.53197,0.90747,0.90141,0.91429,0.47433,1.56932,0.92633,1.67891,0.001274,0.001274,0.001274
13,766.287,1.5081,1.20397,1.5178,0.87024,0.8974,0.91676,0.49639,1.54696,0.90236,1.64805,0.001208,0.001208,0.001208
14,821.693,1.46885,1.08106,1.48578,0.88785,0.90141,0.90276,0.46709,1.60606,0.94868,1.69746,0.001142,0.001142,0.001142
15,877.065,1.4629,1.13548,1.49524,0.88057,0.90141,0.89221,0.48945,1.54736,0.92893,1.63923,0.001076,0.001076,0.001076
16,932.077,1.47617,1.14451,1.50934,0.87712,0.88732,0.91493,0.51974,1.49031,0.88686,1.58563,0.00101,0.00101,0.00101
17,987.975,1.41614,1.03382,1.43973,0.9196,0.88608,0.92594,0.47408,1.60694,0.86318,1.70232,0.000944,0.000944,0.000944
18,1044.07,1.38189,0.9947,1.44304,0.91043,0.88732,0.9278,0.51653,1.49875,0.84124,1.5924,0.000878,0.000878,0.000878
19,1099.18,1.42562,0.99894,1.46446,0.90624,0.88732,0.90488,0.52023,1.51285,0.88499,1.59426,0.000812,0.000812,0.000812
20,1154.1,1.40737,0.99103,1.45008,0.90653,0.88795,0.92281,0.52046,1.50608,0.83608,1.60056,0.000746,0.000746,0.000746
21,1323.39,1.31924,0.81445,1.44984,0.90004,0.90845,0.92337,0.53488,1.44285,0.81206,1.54756,0.00068,0.00068,0.00068
22,1378.21,1.30457,0.77608,1.42712,0.90785,0.90198,0.92953,0.51816,1.47154,0.76531,1.56818,0.000614,0.000614,0.000614
23,1432.52,1.29226,0.75759,1.41466,0.90819,0.90558,0.92293,0.53566,1.42689,0.76087,1.54103,0.000548,0.000548,0.000548
24,1487.01,1.2637,0.74046,1.37795,0.895,0.90845,0.92989,0.55718,1.44749,0.76109,1.55786,0.000482,0.000482,0.000482
25,1542.06,1.24708,0.73546,1.38699,0.91401,0.90845,0.93429,0.54481,1.44268,0.76434,1.54125,0.000416,0.000416,0.000416
26,1598.71,1.24268,0.71776,1.37591,0.91466,0.90845,0.93599,0.54942,1.40509,0.7379,1.52253,0.00035,0.00035,0.00035
27,1657.12,1.24485,0.68296,1.37236,0.90677,0.90141,0.93245,0.55063,1.43323,0.71635,1.53018,0.000284,0.000284,0.000284
28,1714.9,1.2138,0.67236,1.36824,0.89431,0.90141,0.92948,0.54428,1.42704,0.7481,1.5018,0.000218,0.000218,0.000218
29,1771.04,1.21726,0.68394,1.368,0.91481,0.90751,0.93283,0.56192,1.39341,0.7408,1.48612,0.000152,0.000152,0.000152
30,1827.74,1.19685,0.6723,1.33097,0.9078,0.90134,0.92238,0.56808,1.36572,0.73391,1.46718,8.6e-05,8.6e-05,8.6e-05
